Passport ID,Sample ID,Class,Country,Gender,Age Group,Angle,Distance Category,Resolution,Camera,Light Condition,Background,Timestamp
P_JPN_TR0045267,P_JPN_TR0045267_L1_B1_A1_D1,attack,JPN,F,18-318,0°,close,4032x3024,iphone_13_front,natural_light,neutral_wall,2025-09-22T12:58:44+00:00Z
P_JPN_TR0045267,P_JPN_TR0045267_L1_B1_A1_D2,attack,JPN,F,18-319,0°,far,4032x3024,iphone_13_front,natural_light,neutral_wall,2025-09-22T12:58:44+00:00Z
P_JPN_TR0045267,P_JPN_TR0045267_L1_B1_A2_D1,attack,JPN,F,18-320,20°,close,4032x3024,iphone_13_front,natural_light,neutral_wall,2025-09-22T12:58:44+00:00Z
P_JPN_TR0045267,P_JPN_TR0045267_L1_B1_A2_D2,attack,JPN,F,18-321,20°,far,4032x3024,iphone_13_front,natural_light,neutral_wall,2025-09-22T12:58:44+00:00Z
P_JPN_TR0045267,P_JPN_TR0045267_L1_B1_A3_D1,attack,JPN,F,18-322,45°,close,4032x3024,iphone_13_front,natural_light,neutral_wall,2025-09-22T12:58:44+00:00Z
P_JPN_TR0045267,P_JPN_TR0045267_L1_B1_A3_D2,attack,JPN,F,18-323,45°,far,4032x3024,iphone_13_front,natural_light,neutral_wall,2025-09-22T12:58:44+00:00Z
P_JPN_TR0045267,P_JPN_TR0045267_L1_B2_A1_D1,attack,JPN,F,18-324,0°,close,4032x3024,iphone_13_front,natural_light,textured_table,2025-09-22T12:58:45+00:00Z
P_JPN_TR0045267,P_JPN_TR0045267_L1_B2_A1_D2,attack,JPN,F,18-325,0°,far,4032x3024,iphone_13_front,natural_light,textured_table,2025-09-22T12:58:45+00:00Z
P_JPN_TR0045267,P_JPN_TR0045267_L1_B2_A2_D1,attack,JPN,F,18-326,20°,close,4032x3024,iphone_13_front,natural_light,textured_table,2025-09-22T12:58:44+00:00Z
P_JPN_TR0045267,P_JPN_TR0045267_L1_B2_A2_D2,attack,JPN,F,18-327,20°,far,4032x3024,iphone_13_front,natural_light,textured_table,2025-09-22T12:58:44+00:00Z
P_JPN_TR0045267,P_JPN_TR0045267_L1_B2_A3_D1,attack,JPN,F,18-328,45°,close,4032x3024,iphone_13_front,natural_light,textured_table,2025-09-22T12:58:45+00:00Z
P_JPN_TR0045267,P_JPN_TR0045267_L1_B2_A3_D2,attack,JPN,F,18-329,45°,far,4032x3024,iphone_13_front,natural_light,textured_table,2025-09-22T12:58:45+00:00Z
P_JPN_TR0045267,P_JPN_TR0045267_L1_B3_A1_D1,attack,JPN,F,18-330,0°,close,4032x3024,iphone_13_front,natural_light,outdoor_pavement,2025-09-22T12:58:44+00:00Z
P_JPN_TR0045267,P_JPN_TR0045267_L1_B3_A1_D2,attack,JPN,F,18-331,0°,far,4032x3024,iphone_13_front,natural_light,outdoor_pavement,2025-09-22T12:58:44+00:00Z
P_JPN_TR0045267,P_JPN_TR0045267_L1_B3_A2_D1,attack,JPN,F,18-332,20°,close,4032x3024,iphone_13_front,natural_light,outdoor_pavement,2025-09-22T12:58:44+00:00Z
P_JPN_TR0045267,P_JPN_TR0045267_L1_B3_A2_D2,attack,JPN,F,18-333,20°,far,4032x3024,iphone_13_front,natural_light,outdoor_pavement,2025-09-22T12:58:44+00:00Z
P_JPN_TR0045267,P_JPN_TR0045267_L1_B3_A3_D1,attack,JPN,F,18-334,45°,close,4032x3024,iphone_13_front,natural_light,outdoor_pavement,2025-09-22T12:58:44+00:00Z
P_JPN_TR0045267,P_JPN_TR0045267_L1_B3_A3_D2,attack,JPN,F,18-335,45°,far,4032x3024,iphone_13_front,natural_light,outdoor_pavement,2025-09-22T12:58:44+00:00Z
P_JPN_TR0045267,P_JPN_TR0045267_L1_B4_A1_D1,attack,JPN,F,18-336,0°,close,4032x3024,iphone_13_front,natural_light,documents_on_documents,2025-09-22T12:58:44+00:00Z
P_JPN_TR0045267,P_JPN_TR0045267_L1_B4_A1_D2,attack,JPN,F,18-337,0°,far,4032x3024,iphone_13_front,natural_light,documents_on_documents,2025-09-22T12:58:44+00:00Z
P_JPN_TR0045267,P_JPN_TR0045267_L1_B4_A2_D1,attack,JPN,F,18-338,20°,close,4032x3024,iphone_13_front,natural_light,documents_on_documents,2025-09-22T12:58:44+00:00Z
P_JPN_TR0045267,P_JPN_TR0045267_L1_B4_A2_D2,attack,JPN,F,18-339,20°,far,4032x3024,iphone_13_front,natural_light,documents_on_documents,2025-09-22T12:58:44+00:00Z
P_JPN_TR0045267,P_JPN_TR0045267_L1_B4_A3_D1,attack,JPN,F,18-340,45°,close,4032x3024,iphone_13_front,natural_light,documents_on_documents,2025-09-22T12:58:44+00:00Z
P_JPN_TR0045267,P_JPN_TR0045267_L1_B4_A3_D2,attack,JPN,F,18-341,45°,far,4032x3024,iphone_13_front,natural_light,documents_on_documents,2025-09-22T12:58:44+00:00Z
P_JPN_TR0045267,P_JPN_TR0045267_L2_B1_A1_D1,attack,JPN,F,18-342,0°,close,4032x3024,iphone_13_front,office_light,neutral_wall,2025-09-22T12:58:45+00:00Z
P_JPN_TR0045267,P_JPN_TR0045267_L2_B1_A1_D2,attack,JPN,F,18-343,0°,far,4032x3024,iphone_13_front,office_light,neutral_wall,2025-09-22T12:58:45+00:00Z
P_JPN_TR0045267,P_JPN_TR0045267_L2_B1_A2_D1,attack,JPN,F,18-344,20°,close,4032x3024,iphone_13_front,office_light,neutral_wall,2025-09-22T12:58:45+00:00Z
P_JPN_TR0045267,P_JPN_TR0045267_L2_B1_A2_D2,attack,JPN,F,18-345,20°,far,4032x3024,iphone_13_front,office_light,neutral_wall,2025-09-22T12:58:45+00:00Z
P_JPN_TR0045267,P_JPN_TR0045267_L2_B1_A3_D1,attack,JPN,F,18-346,45°,close,4032x3024,iphone_13_front,office_light,neutral_wall,2025-09-22T12:58:45+00:00Z
P_JPN_TR0045267,P_JPN_TR0045267_L2_B1_A3_D2,attack,JPN,F,18-347,45°,far,4032x3024,iphone_13_front,office_light,neutral_wall,2025-09-22T12:58:45+00:00Z
P_JPN_TR0045267,P_JPN_TR0045267_L2_B2_A1_D1,attack,JPN,F,18-348,0°,close,4032x3024,iphone_13_front,office_light,textured_table,2025-09-22T12:58:46+00:00Z
P_JPN_TR0045267,P_JPN_TR0045267_L2_B2_A1_D2,attack,JPN,F,18-349,0°,far,4032x3024,iphone_13_front,office_light,textured_table,2025-09-22T12:58:46+00:00Z
P_JPN_TR0045267,P_JPN_TR0045267_L2_B2_A2_D1,attack,JPN,F,18-350,20°,close,4032x3024,iphone_13_front,office_light,textured_table,2025-09-22T12:58:46+00:00Z
P_JPN_TR0045267,P_JPN_TR0045267_L2_B2_A2_D2,attack,JPN,F,18-351,20°,far,4032x3024,iphone_13_front,office_light,textured_table,2025-09-22T12:58:46+00:00Z
P_JPN_TR0045267,P_JPN_TR0045267_L2_B2_A3_D1,attack,JPN,F,18-352,45°,close,4032x3024,iphone_13_front,office_light,textured_table,2025-09-22T12:58:46+00:00Z
P_JPN_TR0045267,P_JPN_TR0045267_L2_B2_A3_D2,attack,JPN,F,18-353,45°,far,4032x3024,iphone_13_front,office_light,textured_table,2025-09-22T12:58:46+00:00Z
P_JPN_TR0045267,P_JPN_TR0045267_L2_B3_A1_D1,attack,JPN,F,18-354,0°,close,4032x3024,iphone_13_front,office_light,outdoor_pavement,2025-09-22T12:58:45+00:00Z
P_JPN_TR0045267,P_JPN_TR0045267_L2_B3_A1_D2,attack,JPN,F,18-355,0°,far,4032x3024,iphone_13_front,office_light,outdoor_pavement,2025-09-22T12:58:45+00:00Z
P_JPN_TR0045267,P_JPN_TR0045267_L2_B3_A2_D1,attack,JPN,F,18-356,20°,close,4032x3024,iphone_13_front,office_light,outdoor_pavement,2025-09-22T12:58:45+00:00Z
P_JPN_TR0045267,P_JPN_TR0045267_L2_B3_A2_D2,attack,JPN,F,18-357,20°,far,4032x3024,iphone_13_front,office_light,outdoor_pavement,2025-09-22T12:58:45+00:00Z
P_JPN_TR0045267,P_JPN_TR0045267_L2_B3_A3_D1,attack,JPN,F,18-358,45°,close,4032x3024,iphone_13_front,office_light,outdoor_pavement,2025-09-22T12:58:45+00:00Z
P_JPN_TR0045267,P_JPN_TR0045267_L2_B3_A3_D2,attack,JPN,F,18-359,45°,far,4032x3024,iphone_13_front,office_light,outdoor_pavement,2025-09-22T12:58:45+00:00Z
P_JPN_TR0045267,P_JPN_TR0045267_L2_B4_A1_D1,attack,JPN,F,18-360,0°,close,4032x3024,iphone_13_front,office_light,documents_on_documents,2025-09-22T12:58:45+00:00Z
